Sheet,Field,Description,,
report_results,,"The data in this sheet is used in generating the SECIM report. It is identical to data included in the other sheets, but positive and negative ionization mode data are combined and redundant results have been removed. Data in this sheet can be linked to the complete lists of analyzed peaks in other sheets by the ""row.mode"" column. In the case of >2 classes, there is one row per contrast for each included peak. Even if an ANOVA or LMM was performed, the statistical results in this sheet are from the means comparison test(s). ",,
report_results,row.mode,The unique peak identifier including the peak's row and ionization mode. This field can be used to link a result to the complete (un-reduced) results in other sheets.,,
report_results,contrast,contrast,,
report_results,Compound.name,"Compound name as identified by SECIM internal database or HMDB (via R package metid). If peak could not be identified by either method, the peak's mz_RT is used.",,
report_results,row.ID,Unique row identifier,,
report_results,term,ANOVA model term being evaluated for means comparison,,
report_results,null.value,null value ,,
report_results,estimate,estimated different in means,,
report_results,std.error,standard error,,
report_results,df,degrees of freedom,,
report_results,statistic,test statistic,,
report_results,p.value,p-value,,
report_results,Metabolite,Unique row identifier,,
report_results,mz,peak's mz,,
report_results,rt,peak's retention time,,
report_results,KEGG,KEGG ID (if identified),,
report_results,Class,KEGG Class,,
report_results,Subclass_1,KEGG subclass 1,,
report_results,Subclass_2,KEGG subclass 2,,
report_results,Subclass_3,KEGG subclass 3,,
report_results,Subclass_4,KEGG subclass 4,,
report_results,Level,"Confidence level of ID (1 for peaks identified with SECIM database, 3 if HMDB via metid.)",,
report_results,CAS.ID,metid: CAS database ID,,
report_results,HMDB.ID,metid: HMDB database ID,,
report_results,Lab.ID,metid: internatl metid database ID,,
report_results,Adduct,metid: Adduct for match,,
report_results,mz.error,metid: error for match,,
report_results,mz.match.score,metid: mz match score,,
report_results,Total.score,metid: total score (same as mz match score when RT is not used for matching),,
report_results,Database,metid: Database used for searching,,
report_results,Class,Mean of raw peak intensities for samples of a given class. There will be one column per class. ,,
report_results,FC,Fold-Change (raw data) Left side/ Right side,,
report_results,log2FC,log2(Fold-Change),,
report_results,Sample,The raw peak intensity data for every peak included in the report. All rows can be linked to the full data  using the row.mode column.,,
report_results,norm.Sample,The normalized peak intensity data for every peak included in the report. All rows can be linked to the full data  using the row.mode column.,,
Mode.fit.results.metab,,"The full results of the ANOVA for every peak analyzed in this ionization mode  (positive or negative) . All rows and fields can be linked to ""report_results"" using the descriptions above",,
Mode.emmeans.results.metab,,"The full processed peak intensity data for every peak analyzed in this ionization mode  (positive or negative) . All rows and fields can be linked to ""report_results"" using the descriptions above",,
Mode.processed.data,,"The full processed peak intensity data for every peak analyzed in this ionization mode  (positive or negative) . All rows and fields can be linked to ""report_results"" using the descriptions above",,
Mode.normalized.data,,"The ful normalized peak intensity data for every peak analyzed in this ionization mode  (positive or negative) . All rows and fields can be linked to ""report_results"" using the descriptions above",,
metadata,,metadata sheet including all variables used for statistical analysis.,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
