name,KEGG
(2-AMINOETHYL)PHOSPHONATE,C03557
(2-AMINOETHYL)PHOSPHONATE+Na,C03557
(2-AMINOETHYL)PHOSPHONATE-NH3,C03557
"1,2-Benzisothiazolin-3-one",
"1,3-Benzodioxolyl-N-methylbutanamine (MBDB)",NA
"1,3-DIAMINOPROPANE",C00986
"1,4-CYCLOHEXANEDIONE",
10-HYDROXYDECANOATE,C02774
10-HYDROXYDECANOATE-H2O,C02774
12-KETOCHENODEOXYCHOLIC ACID,      
12-KETOCHENODEOXYCHOLIC ACID+Na,      
12-KETOCHENODEOXYCHOLIC ACID-H2O,      
1-AMINOCYCLOPROPANE-1-CARBOXYLATE,C01234
1-AMINOCYCLOPROPANE-1-CARBOXYLATE+Na,C01234
1-HEXANESULFONIC ACID+Na,NA
"1-METHYL-6,7-DIHYDROXY-1,2,3,4-TETRAHYDROISOQUINOLINE",C09642
"1-METHYL-6,7-DIHYDROXY-1,2,3,4-TETRAHYDROISOQUINOLINE-NH3",C09642
1-METHYLADENOSINE,C02494
1-METHYLADENOSINE+K,C02494
1-METHYLADENOSINE+Na,C02494
1-METHYLNICOTINAMIDE,C02918
1-NAPHTHYLAMINE,C14790
1-OLEOYL-RAC-GLYCEROL,CA1373
1-PHENYLETHANOL+Na,C11348
"2,3-BUTANEDIOL-H2O",CA1337
"2,3-dihydroxyisovalerate",
"2,4-DIHYDROXYACETOPHENONE",C03663
"2,4-DIHYDROXYPTERIDINE",C03212
"2,4-DIHYDROXYPTERIDINE+Na",C03212
"2,4-DIHYDROXYPYRIMIDINE-5-CARBOXYLIC ACID",C03030
"2,4-DIHYDROXYPYRIMIDINE-5-CARBOXYLIC ACID+Na",C03030
"2,4-DIHYDROXYPYRIMIDINE-5-CARBOXYLIC ACID-H2O",C03030
"2,5-DIHYDROXYBENZOATE",C00628
"2,5-DIMETHYLPYRAZINE",CA1233
"2,6-DIMETHYLHEPTANOYL CARNITINE",None
24-HYDROCHOLESTEROL-H2O,C13550
2-ACETAMIDO-2-DEOXY-BETA-D-GLUCOSYLAMINE-H2O,CA1416
2-ACETAMIDO-2-DEOXY-BETA-D-GLUCOSYLAMINE-NH3,CA1416
2-AMINO-2-METHYLPROPANOATE,C03665
2-AMINO-2-METHYLPROPANOATE+Na,C03665
2-AMINOBENZIMIDAZOLE,NA
2-AMINOETHYL DIHYDROGEN PHOSPHATE,CA1062
2-AMINOETHYL DIHYDROGEN PHOSPHATE+Na,CA1062
2-AMINONICOTINIC ACID,NA
2-AMINOPHENOL,C01987
2-AMINOPHENOL-H2O,C01987
2'-DEOXYADENOSINE,C00559
2'-DEOXYADENOSINE+K,C00559
2'-DEOXYADENOSINE+Na,C00559
2'-DEOXYCYTIDINE 5'-MONOPHOSPHATE,C00239
2'-DEOXYCYTIDINE 5'-MONOPHOSPHATE+Na,C00239
2'-DEOXYCYTIDINE 5'-MONOPHOSPHATE-H2O,C00239
2-DEOXY-D-GLUCOSE,C00586
2-DEOXY-D-GLUCOSE+Na,C00586
2'-DEOXYGUANOSINE,C00330
2'-DEOXYGUANOSINE,C00330
2'-DEOXYGUANOSINE 5'-MONOPHOSPHATE,C00362
2'-DEOXYGUANOSINE+K,C00330
2'-DEOXYGUANOSINE+K,C00330
2'-DEOXYGUANOSINE+Na,C00330
2'-DEOXYGUANOSINE+Na,C00330
2'-DEOXYURIDINE 5'-MONO-PHOS-PHATE,NA
2-FUROYLGLYCINE,
2-HYDROXY-4-(METHYLTHIO)BUTYRIC ACID,CA1484
2-HYDROXY-4-(METHYLTHIO)BUTYRIC ACID-FA,CA1484
2-HYDROXYGLUTARATE,
2-HYDROXYGLUTARATE adduct,
2-HYDROXYGLUTARATE+Na,
2-HYDROXYGLUTARATE+water,
2-HYDROXYPHENYLACETIC ACID,CA1444
2-HYDROXYPHENYLACETIC ACID-water,CA1444
2-HYDROXYPYRIDINE,C02502
2-HYDROXYPYRIDINE+Na,C02502
2-METHYLBUTANAL,C02223
2-METHYLBUTRYOYLCARNITINE,      
2-METHYLBUTRYOYLCARNITINE+Na,      
2-METHYLGLUTARIC ACID,CA1107
2-METHYLGLUTARIC ACID+Na,CA1107
2-METHYLGLUTARIC ACID-H2O,CA1107
2-METHYLMALEATE,C02226
2-METHYLMALEATE,C02226
2-METHYLMALEATE+Na,C02226
2-METHYLMALEATE+Na,C02226
2-METHYLMALEATE-H2O,C02226
2-METHYLMALEATE-H2O,C02226
2-PHENYLGLYCINE,
2-QUINOLINECARBOXYLIC ACID,C06325
3-(2-HYDROXYPHENYL)PROPANOATE,C01198
3-(2-HYDROXYPHENYL)PROPANOATE-H2O,C01198
3-(4-HYDROXYPHENYL)PYRUVATE-H2O,C01179
3-(HYDROXYPHENYL) PROPIONATE,NA
"3,3,5-TRIIODOTHYRONINE",C02465
"3,4-DIHYDROXYBENZOATE",C00230
"3,4-DIHYDROXY-L-PHENYLALANINE",C00355
"3,4-DIHYDROXY-L-PHENYLALANINE+Na",C00355
"3,4-DIHYDROXY-L-PHENYLALANINE-NH3",C00355
"3,4-DIHYDROXYPHENYL GLYCOL+Na",C05576
"3,4-DIHYDROXYPHENYL GLYCOL-H2O",C05576
"3,4-DIHYDROXYPHENYLACETATE-H2O",C01161
"3,4-DIMETHYLBENZOATE",
"3',5'-CYCLIC AMP",C00575
"3',5'-CYCLIC AMP+Na",C00575
"3,5-DIIODO-L-THYRONINE",CE6369
"3,5-DIIODO-L-TYROSINE",C01060
"3,5-DI-TERT-bUTYLBENZALDEHYDE",NA
"3-ALPHA,11-BETA,17-ALPHA,21-TETRAHYDROXY- 5-ALPHA-PREGNAN-20-ONE-H2O",C05472
"3-ALPHA,11-BETA,17-ALPHA,21-TETRAHYDROXY- 5-ALPHA-PREGNAN-20-ONE-H2O",C05472
"3ALPHA,12ALPHA-DIHYDROXY-5BETA-CHOLANATE-H2O",C04483
3-AMINO-4-HYDROXYBENZOIC ACID,C12115
3-AMINO-5-HYDROXYBENZOIC ACID,C12107
3-AMINOISOBUTANOATE,C05145
3-AMINOISOBUTANOATE+Na,C05145
3-AMINOISOBUTANOATE-H2O,C05145
3'-CMP,C05822
3'-CMP+Na,C05822
3-DEHYDROSHIKIMATE,C02637
3-DEHYDROSHIKIMATE+Na,C02637
3-DEHYDROSHIKIMATE-H2O,C02637
3-HYDROXY-3-METHYLGLUTARATE,C03761
3-HYDROXY-3-METHYLGLUTARATE+Na,C03761
3-HYDROXY-3-METHYLGLUTARATE-H2O,C03761
3-HYDROXYANTHRANILATE,C00632
3-HYDROXYANTHRANILATE-H2O,C00632
3-HYDROXYANTHRANILATE-NH3,C00632
3-HYDROXYBENZALDEHYDE,C03067
3-HYDROXYBENZYL ALCOHOL-H2O,C03351
3-HYDROXYBUTANOIC ACID,C01089
3-HYDROXYBUTANOIC ACID-H2O,C01089
3-HYDROXYDODECANOYL CARNITINE,      
3-HYDROXYDODECANOYL CARNITINE+Na,      
3-HYDROXYDODECANOYL CARNITINE-water,      
3-HYDROXYHEXADECANOYLCARNITINE,      
3-HYDROXYHEXADECANOYLCARNITINE+Na,      
3-HYDROXYKYNURENINE,C02794
3-HYDROXYKYNURENINE+Na,C02794
3-HYDROXYKYNURENINE-NH3,C02794
3-HYDROXYPHENYLACETATE-H2O,C05593
3-INDOLEACETATE,
3-METHOXY-4-HYDROXYMANDELATE+Na,C05584
3-METHOXY-4-HYDROXYMANDELATE-H2O,C05584
3-METHOXY-L-TYROSINE,CA1364
3-METHOXY-L-TYROSINE+K,CA1364
3-METHOXY-L-TYROSINE+Na,CA1364
3-METHOXY-L-TYROSINE-NH3,CA1364
3-METHOXYTYRAMINE,C05587
3-METHOXYTYRAMINE-NH3,C05587
3-METHYGLUTARIC ACID,CA1192
3-METHYGLUTARIC ACID+Na,CA1192
3-METHYGLUTARIC ACID-NH3,CA1192
3-METHYL-2-OXINDOLE,CA1325
3-METHYLADENINE,C00913
3-METHYLADENINE+Na,C00913
3-METHYLCROTONYLGLYCINE,
3-METHYLHISTAMINE,C15526
3-METHYLHISTAMINE+Na,C15526
3-METHYLHISTAMINE-NH3,C15526
3-NITRO-L-TYROSINE,CA1195
3-NITRO-L-TYROSINE-NH3,CA1195
3-OXO-5-BETA-CHOLANATE,NA
3-PHOSPHOGLYCERIC ACID-H2O,C00597
3-SULFINO-L-ALANINE,C00606
3-SULFINO-L-ALANINE+Na,C00606
3-SULFINO-L-ALANINE-H2O,C00606
3-UREIDOPROPIONATE,C02642
3-UREIDOPROPIONATE+Na,C02642
3-UREIDOPROPIONATE-H2O,C02642
4-ACETAMIDOBUTANOATE,C02946
4-ACETAMIDOBUTANOATE+Na,C02946
4-ACETAMIDOBUTANOATE-H2O,C02946
4-ACETAMIDOBUTYRATE,
4-AMINOBENZOATE,C00568
4-AMINOBENZOATE,NA
4-AMINOBENZOATE-H2O,C00568
4-AMINOBUTANOATE (GABA),C00334
4-AMINOBUTANOATE (GABA)+Na,C00334
4-AMINOBUTANOATE (GABA)-H2O,C00334
4-AMINOBUTANOATE (GABA)-NH3,C00334
4-Aminohippuric Acid,D06890 
4-COUMARATE,C00811
4-COUMARATE-H2O,C00811
4-GUANIDINOBUTANOATE,C01035
4-GUANIDINOBUTANOATE+Na,C01035
4-GUANIDINOBUTANOATE-H2O,C01035
4-HYDROXY-2-QUINOLINECARBOXYLIC ACID,C01717
4-HYDROXY-2-QUINOLINECARBOXYLIC ACID+Na,C01717
4-HYDROXY-3-METHOXYPHENYLGLYCOL+Na,CA1410
4-HYDROXY-3-METHOXYPHENYLGLYCOL-H2O,CA1410
"4'-Hydroxy-5,6,7,8-tetramethoxyflavone",
4-HYDROXYBENZALDEHYDE,C00633
4-HYDROXYBENZALDEHYDE-H2O,C00633
4-HYDROXYBENZOATE,C00156
4-HYDROXY-L-PHENYLGLYCINE,CA1445
4-HYDROXY-L-PHENYLGLYCINE+Na,CA1445
4-HYDROXY-L-PHENYLGLYCINE-NH3,CA1445
4-HYDROXY-L-PROLINE,C01157
4-HYDROXY-L-PROLINE+Na,C01157
4-HYDROXYPHENYLACETATE,C00642
4-IMIDAZOLEACETIC ACID,C02835
4-IMIDAZOLEACETIC ACID+Na,C02835
4-O-METHYLGALLIC ACID,
4-PYRIDOXATE,C00847
4-PYRIDOXATE+Na,C00847
4-PYRIDOXATE-H2O,C00847
4-QUINOLINECARBOXYLIC ACID,C06414
4-QUINOLINECARBOXYLIC ACID+Na,C06414
5-(DIHYDROXYPHENYL)-GAMMA-VALEROLACTONE,NA
"5,6-DIHYDROURACIL",C00429
5-AMINOIMIDAZOLE-4-CARBOXAMIDE-1-BETA-D-RIBOFURANOSYL 5'-MONOPHOSPHATE,C04677
5-AMINOIMIDAZOLE-4-CARBOXAMIDE-1-BETA-D-RIBOFURANOSYL 5'-MONOPHOSPHATE+Na,C04677
5-AMINOLEVULINIC ACID,C00430
5-AMINOLEVULINIC ACID+Na,C00430
5-AMINOLEVULINIC ACID-H2O,C00430
5-AMINOPENTANOATE-NH3,C00431
5'-DEOXYADENOSINE,C05198
5'-DEOXYADENOSINE+Na,C05198
5-HYDROXYINDOLEACETATE,C05635
5-HYDROXY-L-TRYPTOPHAN,C01017
5-HYDROXY-L-TRYPTOPHAN+Na,C01017
5-HYDROXY-L-TRYPTOPHAN-NH3,C01017
5-Hydroxymethyl-2-furaldehyde,C11101
5-HYDROXYMETHYLURACIL,C03088
5-HYDROXYMETHYLURACIL+Na,C03088
5-HYDROXYMETHYLURACIL-H2O,C03088
5-HYDROXY-N-FORMYLKYNURENINE,C05648
5-METHYLCYTOSINE HYDROCLORIDE,C02376
5-METHYLCYTOSINE HYDROCLORIDE+K,C02376
5-METHYLCYTOSINE HYDROCLORIDE+Na,C02376
