name,KEGG
SHIKIMATE_M-H,C00493
SHIKIMATE_M+CF3COO,C00493
SHIKIMATE_M+Cl,C00493
SHIKIMATE_M-H -H2O,C00493
SHIKIMATE_M-H + HCOOH,C00493
SHIKIMATE_M+COOH,C00493
SHIKIMATE_M-H+HCOONa,C00493
NICOTINATE_M-H,C00253
NICOTINATE_M-H + HCOOH,C00253
NICOTINATE_2M-2H+Na,C00253
NICOTINATE_M+COOH -H2O,C00253
NICOTINATE_2M-2H+K,C00253
NICOTINATE_M+COOH,C00253
NICOTINATE_3M-3H+2Na,C00253
HYPOTAURINE_3M-3H+2Na,C00519
HYPOTAURINE_M-H+HCOONa,C00519
HYPOTAURINE_2M-2H+Na,C00519
HYPOTAURINE_M-H,C00519
TRANS-ACONITATE_M-2H+Na,C02341
TRANS-ACONITATE_2M+3Na -4H,C02341
TRANS-ACONITATE_M-H,C02341
TRANS-ACONITATE_M-H + HCOOH,C02341
TRANS-ACONITATE_M-H+HCOONa,C02341
TRANS-ACONITATE_2M-2H+K,C02341
TRANS-ACONITATE_2M-2H+Na,C02341
TRANS-ACONITATE_3M-3H+2Na,C02341
TRANS-ACONITATE_M+COOH,C02341
ISOCITRATE_M-H -H2O,C00311
ISOCITRATE_M-H,C00311
ISOCITRATE_M-H+HCOONa,C00311
ISOCITRATE_2M-2H+Na,C00311
BETA-NICOTINAMIDE ADENINE DINUCLEOTIDE_M-H,C00003
BETA-NICOTINAMIDE ADENINE DINUCLEOTIDE_M-H+HCOONa,C00003
BETA-NICOTINAMIDE ADENINE DINUCLEOTIDE_M+COOH,C00003
BETA-NICOTINAMIDE ADENINE DINUCLEOTIDE_M-H + HCOOH,C00003
BETA-NICOTINAMIDE ADENINE DINUCLEOTIDE_M+e,C00003
HOMOSERINE_2M-2H+Na,C00263
HOMOSERINE_M-H+HCOONa,C00263
HOMOSERINE_M-3H+2Na,C00263
HOMOSERINE_M-H,C00263
HOMOSERINE_M-H -H2O,C00263
L-DOPA_2M-H,C00355
L-DOPA_M+Cl,C00355
L-DOPA_M-2H+Na,C00355
L-DOPA_2M-2H+Na,C00355
