name,KEGG
INOSINE-dimer+K,C00294
INOSINE+Na,C00294
INOSINE-dimer+Na,C00294
INOSINE,C00294
INOSINE+K,C00294
INOSINE-dimer,C00294
NICOTINAMIDE MONONUCLEOTIDE+Na,C00455
NICOTINAMIDE MONONUCLEOTIDE-dimer,C00455
NICOTINAMIDE MONONUCLEOTIDE,C00455
L-DOPA-dimer,C00355
L-DOPA+Na,C00355
L-DOPA,C00355
PYRIDOXINE,C00314
PYRIDOXINE+Na,C00314
L-ALANINE+NH4,C00041
L-ALANINE,C00041
DIETHANOLAMINE,C06772
ASPARAGINE,C00152
ASPARAGINE+Na,C00152
CITRATE+Na,C00158
CITRATE,C00158
CITRATE+2Na-H,C00158
CITRATE+K,C00158
CITRATE+NH4,C00158
CITRATE-dimer+Na,C00158
CYTIDINE+K,C00475
CYTIDINE-dimer+Na,C00475
CYTIDINE-dimer,C00475
CYTIDINE-dimer+K,C00475
CYTIDINE+Na,C00475
CYTIDINE,C00475
PROLINE+Na,C00148
PROLINE-dimer,C00148
PROLINE,C00148
PROLINE+2Na-H,C00148
PROLINE-dimer+Na,C00148
URACIL,C00106
CARNOSINE+Na,C00386
CARNOSINE,C00386
CARNOSINE-dimer+Na,C00386
CARNOSINE,C00386
CARNOSINE-dimer,C00386
CARNOSINE+K,C00386
THYMIDINE-dimer+Na,C00214
THYMIDINE,C00214
THYMIDINE,C00214
THYMIDINE+Na,C00214
THYMIDINE+Na,C00214
THYMIDINE-Dimer,C00214
ASPARTATE,C00049
ASPARTATE+Na,C00049
3-METHYL-L-HISTIDINE-dimer+2Na,C01152
3-METHYL-L-HISTIDINE-dimer,C01152
3-METHYL-L-HISTIDINE+2Na-H,C01152
3-METHYL-L-HISTIDINE+Na,C01152
3-METHYL-L-HISTIDINE,C01152
3-METHYL-L-HISTIDINE-dimer+Na,C01152
3-METHYL-L-HISTIDINE,C01152
AMINOISOBUTANOATE-dimer,C05145
AMINOISOBUTANOATE,C05145
AMINOISOBUTANOATE+K,C05145
AMINOISOBUTANOATE+Na,C05145
URIDINE MONOPHOSPHATE-dimer+Na,C00105
URIDINE MONOPHOSPHATE+Na,C00105
URIDINE MONOPHOSPHATE-dimer,C00105
URIDINE MONOPHOSPHATE,C00105
N-GLYCOLYLNEURAMINIC ACID+Na,C03410
N-GLYCOLYLNEURAMINIC ACID-dimer,C03410
N-GLYCOLYLNEURAMINIC ACID,C03410
N-GLYCOLYLNEURAMINIC ACID-dimer+Na,C03410
N-GLYCOLYLNEURAMINIC ACID+K,C03410
N-ACETYLGLUCOSAMINE-dimer+Na,C00140
N-ACETYLGLUCOSAMINE-dimer,C00140
N-ACETYLGLUCOSAMINE+Na,C00140
N-ACETYLGLUCOSAMINE+K,C00140
N-ACETYLGLUCOSAMINE,C00140
dUMP,C00365
dUMP+Na,C00365
dUMP-dimer,C00365
dUMP-dimer+Na,C00365
METHIONINE,C00073
METHIONINE+Na,C00073
DEOXYADENOSINE MONOPHOSPHATE+Na,C00360
DEOXYADENOSINE MONOPHOSPHATE-dimer,C00360
DEOXYADENOSINE MONOPHOSPHATE,C00360
SARCOSINE-dimer,C00213
SARCOSINE,C00213
GUANIDINOACETATE+Na,C00581
GUANIDINOACETATE-dimer,C00581
GUANIDINOACETATE,C00581
CYS-GLY,C01419
ISOCITRATE+NH4,C00311
ISOCITRATE+Na,C00311
ISOCITRATE,C00311
